Hi, I'm looking for a train that is going to cambridge and arriving there by 20:45, is there anything like that?|There are over 1,000 trains like that.  Where will you be departing from?
Yes, actually I'd like to book 7 seats on it.|Good news! Booking was successful, the total fee is 525.69 GBP payable at the station .Reference number is : N680OYGM. Is there anything else I can do for you?
I believe that will do it. Thanks for your help!|You're so welcome. Goodbye!
Is there a train that leaves to london liverpool street on friday? Thankyou.|There are several, do you have a specific time you'd like to leave or arrive?
Can you help me find a train to london liverpool street?|Train TR5154 leaves Friday to London Liverpool Street at 5:59 and arrives by 7:27. Would you like me to book this for you?
That works. I just need one ticket.|Your booking was successful, the total fee is 16.6 GBP payable at the station. Your reference number is: 0XOVBBAJ. Will there be anything else today?
Yes I need to find a guesthouse that has a 4 star rating, I hate dirty hotels, don't you?|What area would you like to be in?
I am interested in staying in the south.|I found 2 guesthouses in the South both have a 4 star rating. There are two price ranges cheap and moderate, which do you prefer?
I have no preference. I need to book a room for 2 nights starting wednesday.|I suggest rosa's b ed and breakfast. Would you like to book that?
Yes, please and let me know if the booking is successful.|How many people will be staying?
Just 1 will be staying there. I do need the reference number.|Your reference number is VFXJ5FEM.
Ok thank you that is all I needed.|Okay. Thank you for calling.
I am looking for a museum in Cambridge please|Do you have an area of the city you more prefer?
No, I do not, any museum would be fine. Could you please give me the entrance fee, area, and postcode for any one of the museums?|Cambridge Artworks in the east is a fun place. It's located at 5 greens road, cb13ef. Best of all, it has free entrance! Any other information I can find for you?
I'm also looking for a train to Cambridge. But I tend to sleep in, so I won't be able to get going before 11:45.|What day do you want to travel, and  where was that departure site again?
I'd like to leave Stansted Airport on Tuesday.|You have a few options going to Cambridge from Stansted airport after 11:45. How about Tuesday, leaving at 12:24?
That would be great, could you book it for 8 people please.|I've booked 8 tickets for you. The total fee is 80.8 GBP payable at the station. Your reference number is CYMNCQNX. Is there anything else I can do for you?
That is all I need goodbye|Thank you, and good-bye!
I'm looking for a train that leaves from Cambridge on Tuesday.|Where will you be travelling to?
I will be traveling to Leicester and would like to arrive before 21:15.|When could you like to arrive by?
I would like to arrive by 21:15.|I have the TR8207 that will arrive by 21:06. Would you like me to book that for you?
Yes but I need that to be booked for 3 people. I would like the reference number please. I also need a place to stay as well.|Booking was successful, the total fee is 113.4 GBP payable at the station. Your reference number is ABKFF3SH. What type of place are you looking for?
I would like a 4-star guesthouse in the north in a moderate price range.|Sure thing, I would suggest this one acorn guest house.
Great can you book that for me from Sunday for 2 nights for 4 people.|Your booking was successful. Your reference number is 7ZJ4CTTG. Will that be all for today?
I'm looking for a chinese restaurant.|There are many Chinese restaurants do you have a price range or an area you'd like to eat at?
I would like the expensive price range.|We have 9 expensive Chinese restaurants across town. Do you prefer a specific area of town?
I don't have a preference, just give me the phone number of the one you would recommend.|I like the good luck chinese food takeaway.  The phone is 01223244149.  What else can I do for you?
I need to catch a train to London kings cross. I need to get there by 09:15. Can you find me one?|I will need your departure location and day of travel to complete the request.
OKay, I will be leaving from Ely.|What day would you like to travel?
Oh, I'm sorry, I meant I'm leaving from CAMBRIDGE to london kings cross on Sunday.|I have updated the search, what day will you need that?
Sunday, please. I just said that.|TR7423 leaves at 5:00 and arrives at 5:51. Would that work?
That will be perfect! Could you book me 1 seat please?|Okay, you are booked on that train.  Your reference number is NNZ8E0N7. Can I do anything else for you today?
Thats all for today! Thanks so much!|Your welcome, have a great day!
I need a train on Monday leaving birmingham new street?|Where are you headed?
Birgmingham New Street from Cambridge|What time monday would you like to depart?
anytime after 21:00.|TR8406 will depart at 21:40. Is that okay?
Yes will you book it for me ?|How many tickets will you need?
I need 2 tickets and a reference number please|Sure thing. I will work on getting this booked for you.
okay, I do need the reference number also.|My apologies, busy weekend and the system is lagging, you are set, reference number is B6SGLAAT total cost is 150.19 GBP, thank you for your patience.
Thank you so much, can you please also find me an Italian restaurant in the centre of town that's on the cheap side?|I highly recommend Zizzi Cambridge in centere. It has excellent pasta and meatballs. Would you like me to book a reservation for you?
Yes, on Monday for 2 people at 14:30. Olease give the reference number.|Booking was successful. The table will be reserved for 15 minutes. Reference number is : DKSUCWY6.
thank you that will be all good bye|Have a nice day, goodbye.
I am planning a trip in Cambridge|Great! What can i help you find?
