am looking for a place to to stay that has cheap price range it should be in a type of hotel|Okay, do you have a specific area you want to stay in?
Okay, great! What's the address and postcode for that place?|The address is 15-17 norman way, coldhams business park, and the postcode is cb13lh.
Can I have their phone number please?|Sure. There phone number is 01223866800. Would you like me to book it for you?
No thank you. That's all I needed.|Thank you for using our service & have a good day!
I need a restaurant that serves Irish food and is in centre of Cambridge|Unfortunately no restaurant matches that search criteria. Could you like to look at other areas?
Any restaurant then I guess will have to do located in the centre that is moderately priced. Are you SURE their aren't' any Irish restaurants?|There a no Irish places in the centre, in that price range, nor any in town. Shall I try some British food?
Yes please try British.|I'm sorry.  I'm not showing any British restaurants in the centre of town, either?  Would you like to try another part of town or a different type of food?
Ok, anything british will do. I need to book a table for 8 people on Monday at 15:30.|restaurant one seven is in the centre and its serves british food and it's in the moderate price range. Would you like me to book a table for you?
Please. And can I have the confirmation number as well? Can you tell me if that is 3 stars?|No, these restaurants aren't graded with stars.  But I do have a reservation for you. The reference number is U3AG4VDD. Can I be of further help to you today?
Yes. I would like a hotel in the same area as the restaurant. I'm not driing so I don't need free parking.|cityroomz hotel in the center is moderately priced.  It's located at sleeperz hotel, station road.  phone number is 01223304050.  shall I book it for you?
Yes, please. That sounds perfect.|Ok how many people and how many nights?
just me for one night please|And will you also be checking in on Monday?
Yes and can you tell me whether they have free wifi?|They do. Would you like me to book it?
Yes, may I confirm the address of this hotel please?|The address is sleeperz hotel, station road.
Great. That is all the information I need. I will book the room later on my own. Thanks a bunch. Goodbye.|Thank you for using our system.
What sort of dining does Cambridge offer in the centre, in the moderate price range?|There are 21 different choices. What kind of food are you looking for?
I would like some christmas food.|I'm sorry. I could not find a restaurant that meets that criteria.  Would you like to try something else?
How about somewhere with Lebanese food?|Yes, there is a moderately priced Lebanese restaraunt in the centre named Ali Baba.  How does that sound?
That will work can you make a reservation and send me the reference number please?|of course, what day shall i make the reservation for?
Tuesday please at 18:15 for 6 people.|Your table at Ali Baba is booked, reference #NYH3ZPQN. Is there anything else I can help you with today?
I 'd like to find a hotel in the same area, one with three stars.|We have an expensive hotel called gonville hotel with free internet and parking. Would you be interested in booking a room here?
Does it have free wifi?|Yes it has free wifi and free parking.
That sounds perfect. Can you book a reservation for 5 nights starting on Tuesday for 6 people?|Your booking at the Gonville Hotel was successful. The reference number is FHD472H3. Can I help with anything else today?
Thanks, you have been very helpful.  That is all I needed.  Bye.|Thank you for using Cambridge TownInfo. Have a great day!
A hotel in the north with free parking, please.|I have 5 hotels that meet your needs 2 are moderately priced and 3 are expensive.  Do you have a preference?
Is there any with a 4 star rating and includes free wifi?|Unfortunately there are none on the north side of town that fit your criteria. Would you like me to look in another part of the city?
No thank you.|I have Ashley Hotel or Lovell Lodge on the North side of town. They both have free wifi and parking. Can I book one of those for you?
Do either of those have 4 star ratings?|No, I'm sorry.  There are several guesthouses with 4 stars.  Kirkwood House is in the north and has fee parking and WiFi.  Can I reserve a room?
What is Kirkwood House's address, postcode, and price range?|Kirkwood house is a moderately priced hotel and its address is 172 chesterton road, cb41da.
Thank you for the help, that's all I need.|You're welcome. Have a nice stay!
I'm looking for lodgings on the east side, in the expensive price range.|The Express by Holiday Inn is located at 15-17 Norman Way int he Coldhams Business Park which is located in the east.
it doesn't need a free parking. Can you book a room for me?|Yes, how many people and what day would you like to book?
